,authors,age
7137,2402,6
2652,2675,11
3373,2887,38
4367,1046,5
2230,4098,5
7184,368,4
3519,1992,9
1367,3096,14
1563,2027,9
5344,2628,112
1873,4058,9
7314,560,7
695,4280,11
538,1295,12
380,2268,5
4804,27,6
4960,3018,18
7570,3245,22
5922,861,7
2788,3997,5
2361,1804,4
3443,3618,42
3744,2416,10
5714,2434,14
6412,464,9
2914,3731,4
261,3483,6
3441,3453,5
5394,3629,27
7108,2981,7
1907,4022,5
4534,3778,8
2893,1786,9
6259,148,7
7630,2547,4
5035,1527,24
5981,4020,12
3805,2483,6
5648,2390,24
2492,2367,11
5552,305,13
4838,1623,8
7400,4288,10
7100,3108,7
828,1230,7
5667,2281,47
1301,2135,28
5675,4310,9
1088,2160,10
5096,4090,4
2293,3474,7
4015,4045,30
2307,1672,11
4277,1743,20
7086,3081,6
5861,525,11
1792,4018,10
7033,2460,10
4780,224,6
1148,1824,8
4181,4114,10
7546,535,17
5113,3835,56
5814,3346,4
7325,63,3
7235,440,2
2838,3291,9
4484,2336,6
5015,402,5
2147,1139,14
7402,1985,6
2604,4359,4
7368,3860,17
2181,4111,3
5256,4349,9
2564,3794,18
3226,3906,6
3803,764,5
7516,2040,4
4504,948,7
6929,3681,7
3134,2958,8
5935,1935,10
7188,3734,7
2268,61,34
1977,87,16
1843,314,14
457,168,12
5443,2481,328
2412,1138,11
3957,3238,4
7548,3014,8
705,1560,8
4966,3601,17
2674,1925,9
5208,1584,13
598,943,21
3090,3156,7
4293,4153,6
3189,2388,10
2324,3188,5
2345,2245,6
1177,1525,10
259,532,21
7488,790,3
7695,1542,5
4642,1691,7
7146,320,6
7172,2516,8
7508,919,7
3464,3468,7
1945,3170,13
4092,3245,29
4649,2587,7
946,3749,10
2074,80,3
4259,1187,36
3932,3299,5
7775,1737,4
667,269,20
5706,2034,14
2751,2527,8
407,3495,3
6438,2128,21
1517,2023,4
7296,1698,8
1692,3349,18
1481,2118,26
2718,2069,6
1610,1951,16
4608,3891,8
795,2405,15
4323,1598,7
619,2754,5
6994,1397,51
1963,396,21
1609,1893,10
4246,852,18
4497,1275,15
2403,1599,7
6367,1729,7
5290,1755,16
4448,483,12
1625,995,18
2507,3276,8
2969,3937,6
4893,22,8
7657,1919,3
2251,2855,12
1580,1961,8
7926,961,10
1994,2188,59
2066,3215,17
1767,967,10
6780,1119,7
515,3017,8
2454,571,4
6265,2712,9
789,2549,10
2668,2233,14
2383,1214,5
5428,1709,15
6242,2644,5
1104,2755,7
5199,1669,10
7373,3913,9
7175,869,3
1802,3974,18
4349,2254,21
5019,3852,30
7039,3178,8
5873,2446,14
6915,1304,17
1230,341,16
0,1788,14
4936,3847,20
3768,3691,5
132,1346,19
3364,4056,5
7789,546,9
1264,461,15
6908,3763,3
2734,349,11
6837,3593,9
205,2158,28
5931,3465,13
3035,3283,9
6811,2548,7
4629,3861,5
4990,1113,16
2007,12,13
7718,1063,11
5310,1740,26
2088,1531,12
5092,2802,17
5115,4195,19
721,3344,10
4583,3785,6
759,2220,9
1140,2138,16
6761,2301,5
108,2157,23
2714,186,25
6784,3720,5
2388,3090,7
5097,3919,14
4157,2829,4
2755,296,6
5140,2873,27
3180,932,6
4806,1759,6
241,3881,26
7135,1212,6
4937,2257,10
7753,1386,6
2124,1903,10
6173,1285,6
984,3536,20
4203,2170,13
148,2915,9
7313,3677,7
5550,748,8
5562,215,24
689,2787,11
878,3809,14
5189,2145,27
6809,1472,10
7267,3907,5
6189,2534,13
616,28,19
5544,2341,74
6370,3320,12
2550,2928,5
93,809,14
3458,1717,9
1485,4348,28
473,2695,11
4205,2839,6
7095,1347,29
5875,3404,56
7243,2722,5
1917,4247,38
979,1474,38
3274,2981,7
767,1456,9
5867,1765,11
791,3251,21
1809,2510,25
857,444,50
815,2003,26
206,421,25
5771,2517,20
6021,12,13
3069,2058,8
2052,1580,7
1314,130,18
6103,2551,7
5753,2598,9
5062,2978,7
935,1207,5
4539,1658,10
2275,4135,13
6276,2441,4
1012,3790,7
1628,3067,11
708,1149,26
3280,2819,9
3511,766,8
6679,3451,4
251,1726,11
7994,1242,6
42,1440,16
7837,3430,6
2241,352,8
5805,1194,20
4643,690,9
7553,2605,7
5522,4345,6
6000,1070,25
7532,82,39
2991,3660,6
1263,3747,6
1420,49,13
6105,2551,7
7111,574,5
3573,2736,4
704,2592,34
1757,307,18
1003,3004,25
3043,3875,12
1751,3279,14
5327,146,7
2907,865,8
4974,2867,56
2116,727,12
431,3871,20
3654,3096,14
7483,953,18
1881,776,6
7258,920,9
343,3854,9
3170,3467,7
4955,4371,8
8000,3988,6
1865,3001,17
885,1350,18
5117,2844,32
6958,929,11
3878,2031,7
988,2360,11
1510,1049,12
1958,386,8
6284,3360,8
2828,1572,17
4304,3538,6
3461,3088,8
6594,401,8
6555,64,17
6664,109,7
1961,3422,28
842,4326,19
5844,3850,21
5404,156,47
2717,1017,3
4916,2030,7
5239,2048,5
5856,719,4
5567,2766,5
5794,1274,15
7482,3961,8
98,60,19
1315,493,16
226,1335,24
3290,482,4
4324,2842,7
4023,317,14
5286,4329,10
88,3362,5
7781,2218,6
6085,2460,10
314,1352,22
1375,2906,13
377,4115,3
602,125,12
5520,1606,18
1853,4221,7
4778,4095,4
817,2670,9
7777,47,8
7627,1374,8
1742,2745,19
5767,2946,5
2965,356,17
868,1421,6
1822,71,9
2370,656,8
4749,2652,9
5380,2455,8
6415,3456,7
313,1354,16
2808,1444,10
5628,4253,11
1362,334,7
4418,2836,8
403,1388,33
2927,1728,10
2126,4070,5
6605,2771,6
2302,3532,11
7452,246,5
5010,180,3
3592,707,4
443,2385,26
4546,2595,181
458,1377,15
4127,490,8
4251,1776,8
7572,2891,6
971,3010,9
4128,2533,14
6072,1103,40
5897,1260,6
6419,1245,8
7290,3173,14
2943,685,9
5543,4187,20
2257,878,16
7723,3489,6
1360,1597,18
1671,1476,18
2100,1009,18
1749,4097,24
7006,3071,8
4305,2094,16
1899,2023,7
6857,3563,5
691,3205,6
5381,4063,20
4341,2744,7
3539,1503,8
1754,4013,21
7988,568,12
6305,3679,7
3879,2807,7
6455,2609,9
469,991,17
5240,2584,4
7211,4059,10
7053,850,22
4280,3998,6
6747,4280,11
5411,2075,12
1332,2932,22
6288,3806,6
3868,1496,8
7932,3594,5
5744,1463,18
2761,301,16
80,1806,14
7210,3822,6
1617,2429,27
3720,708,8
6897,1230,7
5560,1605,4
7127,3924,4
4137,3642,18
1298,3604,7
5194,445,15
5329,2110,45
2050,2462,7
5182,3952,13
1725,3084,13
4745,1111,21
6720,4328,19
2152,2850,31
6157,1409,10
7239,400,15
2623,3277,7
7828,2350,7
6701,3278,11
3294,3990,19
7194,1358,4
6868,2163,9
5284,2269,100
7973,373,11
5321,2888,23
7176,4382,8
7857,3011,8
5969,959,10
3370,2732,20
3154,1159,7
6759,3708,6
1460,1287,7
1717,2900,6
5674,858,20
2984,2874,4
6348,3657,6
7381,504,11
6262,2861,11
6714,2789,7
832,817,25
1944,892,19
3802,807,5
4472,1938,8
5566,2136,11
7739,3765,10
5964,1418,5
5548,3944,24
1431,3480,26
7523,2877,8
1820,2596,13
633,3418,11
3489,825,13
6713,1980,4
5640,1088,10
5153,3000,6
7251,1212,31
2524,4226,27
4168,1679,6
5568,3293,17
3952,1663,4
7571,682,3
5690,1974,13
5238,428,31
5298,2013,29
2913,288,3
698,1959,15
1969,3694,11
1545,2671,16
764,2437,6
2292,2283,12
5653,415,20
3039,2851,7
1591,2845,18
7578,2559,4
6726,4050,6
6883,3625,8
5779,3887,6
5481,1764,4
808,67,7
4215,928,9
6767,1441,8
2545,2205,23
2850,3704,5
6439,2128,15
7232,1142,11
4849,4241,6
1476,2143,23
618,3754,23
428,2535,10
2142,3019,5
6563,1318,9
5232,4049,16
1356,1323,14
4693,1958,5
7263,615,3
7392,3719,20
1587,1564,36
4691,2172,4
1927,477,8
4268,3977,9
2176,620,3
1349,2934,9
5999,793,15
3871,919,5
4297,3699,15
7340,2322,4
4194,1773,3
5409,2797,9
351,1703,24
3541,1895,9
2149,346,12
97,4190,4
6946,376,7
7385,1624,12
2188,651,7
4047,2975,6
3940,829,8
1807,2746,11
3146,3024,7
4614,2174,20
4032,3272,9
542,401,8
3434,1536,26
1960,1791,2006
2633,3058,7
3051,554,9
2942,730,6
4016,2489,17
64,69,6
4211,2768,5
1187,647,18
1659,32,13
2046,2615,4
2394,198,4
7985,3610,7
7822,2479,10
950,2046,13
5292,2413,84
7959,2621,8
6794,895,16
4206,2523,7
3951,1662,6
3605,1683,8
7979,2853,9
142,1654,11
5378,2878,8
424,1461,9
2616,1132,9
4026,530,5
135,1997,17
5724,3210,16
1933,461,16
5820,128,26
981,1119,7
1981,3002,22
629,1173,4
6101,1746,3
6220,1376,7
4694,2704,10
1418,4231,15
867,478,15
5162,3816,4
5135,583,6
3029,1331,24
3593,3376,5
361,1534,53
6728,800,4
3780,2901,8
6145,1997,17
1581,1604,3
1492,3795,4
2925,1794,7
2795,785,31
2139,1865,19
7323,2808,8
2884,3646,6
1683,2055,16
5174,863,7
1906,2028,11
7023,1228,8
1839,1302,9
